name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake
Vivekananda Institute of Architecture Itanagar,Itanagar,Arunachal Pradesh,Private,1968,,A,166,200,8.9,189135,122252,True,33.4,2.11,13.21,508,1404.2,True,True,False,True,False,True,30.0,VITEEE,1785
Autonomous College of Agriculture Dharamsala,Dharamsala,Himachal Pradesh,Autonomous,1974,473,A,240,1354,5.0,108539,59112,False,46.9,3.0,17.95,620,1202.1,False,False,False,True,True,False,17.4,UPSEE,6800
Academy of Medical Sciences Itanagar,Itanagar,Arunachal Pradesh,Deemed,1894,,B++,94,656,8.7,677488,151042,True,87.2,9.23,56.6,438,13.4,False,True,True,False,True,True,20.8,Own Entrance,5726
Government Polytechnic Rajahmundry,Rajahmundry,Andhra Pradesh,Government,1894,63,A+,107,879,0.2,,123394,True,68.9,11.94,26.25,10,657.2,True,True,True,True,True,True,70.8,Own Entrance,153
Autonomous College of Arts Jaipur,Jaipur,Rajasthan,Autonomous,1954,,B+,38,732,9.0,82706,141824,False,33.2,4.69,23.09,284,1412.1,False,True,True,False,False,True,63.0,VITEEE,6578
District Education College Aurangabad,Aurangabad,Maharashtra,Government,1869,52,B+,149,910,4.6,117280,29998,True,96.3,,,343,660.5,False,False,False,False,False,True,48.5,Own Entrance,4152
Government Hotel Management College Belgaum,Belgaum,Karnataka,Government,1904,206,A,151,1190,5.6,76973,126736,True,81.1,6.45,37.87,607,664.5,True,False,True,False,False,True,20.0,GATE,6631
Ramanujan Autonomous Institute Namchi,Namchi,Sikkim,Autonomous,1952,486,B+,127,176,19.0,,106788,False,48.2,2.17,10.77,389,182.2,False,False,False,True,False,False,9.8,Own Entrance,3345
District Commerce College Jammu,Jammu,Jammu & Kashmir,Government,1858,21,B++,160,836,4.0,287868,32833,True,92.7,22.56,102.81,519,1970.2,True,True,False,False,False,False,11.1,VITEEE,3313
Government Model College Tura,Tura,Meghalaya,Government,1989,,A+,92,261,16.5,63004,137377,True,67.5,10.93,69.32,72,,True,True,True,False,True,False,17.4,JEE Main,4294
Jawaharlal University Solan,Solan,H.P.,Private,1898,398,B++,250,610,10.7,308978,86576,False,30.4,3.17,11.14,482,235.8,True,False,True,True,False,False,59.5,CLAT,6539
Solapur Institute of Fine Arts (Deemed),Solapur,Maharashtra,Deemed,2004,,,19,840,5.1,818428,73554,False,,8.35,37.82,134,751.2,False,True,False,True,False,True,41.6,CUET,4318
Surat Institute of Computer Science (Deemed),Surat,Gujarat,Deemed,1978,98,B++,66,1374,1.5,666805,43166,False,79.0,14.81,59.84,260,,True,True,True,True,True,True,7.1,COMEDK,2100
Karaikal Government Law College,Karaikal,Puducherry,Government,2020,246,A,166,949,2.0,81648,37645,True,84.9,13.56,81.03,140,681.1,True,False,True,True,False,True,63.7,COMEDK,1927
Dharamsala Institute of Computer Science,Dharamsala,Himachal Pradesh,Private,1928,225,B,239,,,556371,72029,True,71.1,4.37,11.07,347,1941.2,True,False,True,False,True,True,69.6,VITEEE,3374
Academy of Veterinary Science Ludhiana,Ludhiana,Punjab,Deemed,2002,319,B++,227,1159,4.0,220052,90390,True,32.1,4.49,21.14,26,2382.8,False,False,False,False,False,True,11.7,JEE Advanced,4627
Amrita University Vadodara,Vadodara,Gujarat,Private,1942,,A++,218,1214,5.5,407739,178086,True,66.7,4.74,19.77,639,2136.4,True,True,True,True,True,True,69.4,MHT CET,6694
Patel Autonomous Institute Dhanbad,Dhanbad,Jharkhand,Autonomous,1851,406,B++,143,303,12.1,91972,134071,False,31.4,3.01,6.69,569,2424.7,True,True,True,False,False,True,26.1,MHT CET,3675
Gandhi Academy of Computer Science Bikaner,Bikaner,Rajasthan,Deemed,1993,90,A+,168,874,8.4,1486302,82787,True,83.4,18.45,72.69,24,855.4,False,True,False,False,True,True,75.1,UPSEE,7363
Srinivasa University Shillong,Shillong,Meghalaya,Private,1933,,A,109,1208,3.0,524102,150669,True,75.4,5.37,31.98,210,1626.0,True,True,False,True,True,True,34.9,WBJEE,3663
State Institute of Architecture Kolhapur,Kolhapur,Maharashtra,Government,1950,,A,23,267,2.4,223372,166299,False,90.3,,,357,234.7,True,False,True,True,True,True,63.9,Own Entrance,639
Sri Patel Institute of Science Kohima,Kohima,Nagaland,Private,1934,277,B++,70,711,1.8,208639,65330,True,29.5,3.59,19.37,48,282.1,False,True,True,True,True,True,50.8,CLAT,1310
Prayagraj College of Management,Prayagraj,Uttar Pradesh,Private,1989,225,B++,31,1397,4.7,637789,113309,False,69.0,4.76,24.27,19,1082.8,True,True,True,True,True,True,42.4,TS EAMCET,6536
Vidyasagar Deemed University Puducherry,Puducherry,Puducherry,Deemed,1890,76,,14,831,1.6,803595,75661,False,85.9,10.9,24.26,250,,False,False,True,False,True,True,69.6,NEET UG,1334
Excel Institute of Homeopathy Vasco da Gama,Vasco da Gama,Goa,private,1949,32,B++,61,1441,0.3,548355,176427,True,94.7,29.45,134.74,265,1087.5,False,True,True,False,False,True,75.8,NATA,392
Shivaji Academy of Dental Sciences Dharamsala,Dharamsala,Himachal Pradesh,Deemed,1922,,A++,116,388,14.4,378882,88558,True,73.7,9.31,18.78,136,477.5,False,True,True,False,True,False,17.1,University Entrance,5596
Rewa Government Management College,Rewa,Madhya Pradesh,Government,2021,,A,54,655,7.2,34522,139244,True,36.8,4.91,14.3,524,392.2,False,False,True,False,True,False,24.5,COMEDK,4747
Gangtok Institute of Fine Arts (Deemed),Gangtok,Sikkim,Deemed,1931,1,A,176,317,2.2,1283943,109542,True,88.0,11.3,47.45,368,2238.5,True,True,True,True,True,True,21.1,Own Entrance,694
Rajasthan State Management College Ajmer,Ajmer,Rajasthan,Government,1891,150,A+,83,1477,0.6,20630,59884,True,66.2,14.02,73.37,456,1546.4,False,True,True,True,True,True,43.3,JEE Main,945
National Law School Bangalore,Bangalore,Karnataka,Government,1987,,A++,246,985,0.1,193033,67166,False,94.5,24.65,166.76,224,1097.3,True,True,True,True,True,True,25.5,CLAT,120
Sri Bhabha Institute of Nursing Surat,Surat,Gujarat,Private,2004,148,A,116,1099,0.8,537896,85223,True,74.7,6.71,20.14,123,1967.2,True,True,False,False,False,False,35.8,GATE,934
Bose Academy of Computer Science Patna,Patna,Bihar,Deemed,1989,345,A,175,631,6.3,155103,32199,True,30.0,2.56,13.92,399,2403.6,True,False,False,False,True,False,26.4,SRMJEEE,3974
Academy of Management Korba,Korba,Chhattisgarh,Deemed,1858,13,B,154,1344,4.8,350766,27955,True,76.7,10.31,58.88,93,208.4,True,False,True,False,True,True,17.0,JEE Main,6450
Central University of Karnataka,Kalaburagi,Karnataka,Government,2009,253,B++,22,1389,0.3,23555,104567,False,44.3,3.29,8.16,54,2088.3,True,True,False,False,True,False,11.9,CUET,350
Government College of Architecture Ranchi,Ranchi,Jharkhand,Government,1954,150,B+,241,636,6.7,84856,138477,False,79.5,9.32,28.06,414,1169.3,True,False,True,True,True,False,55.4,WBJEE,4291
Noida Institute of Social Work (Deemed),Noida,Uttar Pradesh,Deemed,1984,300,A,57,389,6.1,85127,87731,False,40.8,4.96,17.79,94,622.6,True,True,True,True,True,True,38.8,TS EAMCET,2371
Dayanand University Kakinada,Kakinada,Andhra Pradesh,Private,2007,74,B++,212,754,3.9,536050,36101,True,55.8,4.36,26.97,607,,True,True,False,False,True,False,75.9,University Entrance,2949
Maulana Azad Medical College,New Delhi,Delhi,Government,1958,228,A++,189,1124,0.2,78944,24123,False,65.2,10.52,21.66,291,1340.3,False,True,True,True,True,True,25.1,NEET UG,250
Government Model College Lucknow,Lucknow,Uttar Pradesh,Government,1995,,,37,80,17.1,44712,98017,True,39.7,3.5,10.84,612,291.9,True,False,False,True,True,True,75.1,NATA,1370
Sri Dayanand Institute of Nursing Agartala,Agartala,Tripura,Private,1968,,B++,54,750,10.6,294465,75622,True,56.9,3.2,18.52,630,674.8,True,True,True,True,True,True,32.0,CUET,7965
Sri Guru Gobind Singh Institute of Law Jorhat,Jorhat,Assam,private,1956,206,,140,327,10.0,685710,30002,True,62.5,8.19,18.83,651,114.0,False,False,True,True,False,True,23.8,NATA,3266
School of Planning and Architecture Delhi,New Delhi,Delhi,Government,1941,,A+,108,1268,0.2,54163,69377,False,68.4,12.65,82.21,686,800.3,True,True,True,True,True,False,12.8,NATA/JEE,200
Aryabhatta Institute of Engineering Deoghar,Deoghar,Jharkhand,Private,1865,463,B++,184,1289,1.3,272810,36339,True,32.8,2.26,15.23,46,865.9,False,False,True,True,False,False,6.9,CAT,1733
Srinivasa Autonomous Institute Kolkata,Kolkata,West Bengal,Autonomous,1890,137,B++,23,418,18.8,139729,150106,True,48.5,,,168,2131.9,False,True,True,False,False,True,1.4,VITEEE,7865
Haridwar Institute of Engineering,Haridwar,Uttarakhand,Private,1978,,A,193,669,9.3,1380897,95193,True,87.6,29.03,179.04,621,221.0,True,True,True,True,False,True,65.1,State Level,6242
Deemed Institute of Ayurveda Solan,Solan,Himachal Pradesh,deemed,1991,3,A+,120,1230,2.4,782201,142448,False,76.1,17.84,99.05,623,1144.0,False,True,False,True,True,True,71.1,WBJEE,2962
Jamshedpur College of Ayurveda,Jamshedpur,Jharkhand,Private,1985,278,A,121,104,68.1,189078,71216,True,46.5,2.08,10.34,27,1969.5,True,False,True,False,True,True,61.8,CAT,7085
Autonomous College of Engineering Delhi,Delhi,Delhi,Autonomous,1901,,A+,32,861,2.3,264731,113815,True,85.7,8.05,29.98,488,1362.6,False,True,True,False,False,True,7.6,BITSAT,1961
Government Polytechnic Ghaziabad,Ghaziabad,Uttar Pradesh,Government,1995,89,B++,56,100,57.3,173644,52735,True,91.8,17.78,99.06,272,892.6,False,False,False,False,True,True,45.3,CUET,5727
Jaipur Agriculture Autonomous College,Jaipur,Rajasthan,Autonomous,1940,,B++,231,575,12.2,190164,132040,False,76.7,7.61,22.89,432,1702.9,False,False,False,False,False,False,67.4,TNEA,6994
Tilak Academy of Fashion Design Noida,Noida,Uttar Pradesh,Deemed,1893,264,,130,177,39.4,117150,141682,False,30.1,2.45,7.87,312,1673.0,True,False,True,True,True,True,53.6,JEE Main,6979
Kohima Institute of Social Work (Deemed),Kohima,Nagaland,Deemed,1908,274,B,79,1386,5.5,219091,30086,True,34.3,3.38,22.57,675,382.3,True,False,True,True,False,True,13.2,SRMJEEE,7594
Management Development Institute,Gurugram,Haryana,Private,1973,,A++,79,450,0.8,496020,101447,True,63.8,8.42,17.18,587,,True,False,True,False,True,True,63.1,CAT,350
XLRI Jamshedpur,Jamshedpur,Jharkhand,Private,1949,35,A++,192,590,0.5,1584694,87960,True,83.0,12.54,74.06,130,1929.0,True,True,True,True,True,True,3.5,XAT,300
Korba Institute of Science,Korba,Chhattisgarh,Private,1947,467,B++,199,1302,4.1,221857,151968,True,44.4,5.46,17.27,137,773.5,True,False,True,False,False,False,63.0,SRMJEEE,5307
Government College of Law Sikar,Sikar,Rajasthan,Government,1867,27,A++,239,640,8.5,165165,64446,True,94.8,27.82,157.46,593,434.1,False,False,False,True,False,False,3.6,JEE Advanced,5449
State Institute of Medical Sciences Amritsar,Amritsar,Punjab,Government,1932,,B+,64,990,2.2,34155,121145,True,85.5,8.32,18.64,375,528.7,True,True,True,True,True,True,71.8,JEE Advanced,2204
Government Polytechnic Srinagar,Srinagar,Jammu & Kashmir,Government,1916,430,B,191,123,43.6,45145,126685,False,44.0,2.99,15.06,45,651.1,False,False,False,True,False,False,18.8,MHT CET,5359
Government Polytechnic Vellore,Vellore,Tamil Nadu,Government,1980,194,B+,157,1353,2.0,16019,42075,True,76.4,6.63,18.8,463,607.5,False,True,False,False,False,False,61.9,NATA,2697
Government College of Commerce Tura,Tura,Meghalaya,Government,1881,,A,52,220,34.7,42782,85760,False,54.0,4.97,30.46,207,2478.4,False,False,False,True,True,True,41.6,UPSEE,7638
Tamil Nadu State Pharmacy College Chennai,Chennai,Tamil Nadu,Government,1883,246,B++,109,439,2.4,63619,46361,True,72.4,6.73,33.26,155,536.2,True,True,True,False,True,True,60.1,UPSEE,1041
National Law Institute University Bhopal,Bhopal,Madhya Pradesh,Government,1997,13,A+,92,678,0.1,159045,42506,True,86.6,33.64,91.11,476,1961.1,True,True,False,True,False,False,44.8,CLAT,100
State Institute of Architecture Srinagar,Srinagar,Jammu & Kashmir,Government,1976,87,B++,157,1135,4.1,276852,39043,True,93.7,27.77,115.8,65,54.7,False,False,False,False,False,False,43.0,COMEDK,4685
Gandhi University Chandigarh,Chandigarh,Chandigarh,Private,1985,181,A,220,1255,0.8,100610,23636,True,31.2,5.48,23.9,31,1118.7,True,True,True,False,True,True,69.1,CAT,948
Prime College of Education Itanagar,Itanagar,Arunachal Pradesh,Private,1854,,B,209,894,6.3,288862,41858,True,42.2,3.5,19.38,98,575.4,True,True,False,True,True,True,26.2,NATA,5632
Shri Ram Deemed University Agartala,Agartala,Tripura,Deemed,2023,170,B++,57,1442,3.0,472489,117421,True,65.8,4.58,15.81,638,2380.1,True,False,True,False,True,True,32.2,MHT CET,4340
Woxsen University,Hyderabad,Telangana,Private,2014,445,A,109,1153,0.5,350159,80951,True,55.0,2.29,11.43,273,474.2,True,True,True,False,True,True,60.6,Own Test,600
Government Arts College Warangal,Warangal,Telangana,Government,1880,456,B++,159,265,24.8,24339,102951,False,46.3,4.95,11.04,691,,True,True,True,True,True,True,31.4,Own Entrance,6564
Excel Institute of Veterinary Science Lucknow,Lucknow,UP,Private,1909,68,B+,238,1356,1.0,1588591,174984,True,97.4,22.51,58.97,75,1535.0,True,True,True,False,False,True,59.1,State Level,1373
Government Medical Sciences College Tura,Tura,Meghalaya,Government,1979,213,A,225,1111,5.0,21359,150513,True,61.8,4.93,20.87,552,2253.4,True,True,False,True,True,True,25.9,CLAT,5577
Government Hotel Management College Rewa,Rewa,Madhya Pradesh,Government,1926,,A,35,459,16.2,129180,57182,False,88.7,33.39,214.93,661,,True,True,True,True,True,False,58.3,JEE Advanced,7420
Subhas Autonomous Institute Agartala,Agartala,Tripura,Autonomous,1976,155,B+,42,434,10.7,193603,148198,False,50.9,8.27,51.32,256,1330.7,False,False,False,True,False,True,3.7,COMEDK,4654
Prime College of Ayurveda Amritsar,Amritsar,Punjab,Private,1872,72,A,109,268,26.5,1744539,152423,False,94.8,11.17,38.79,107,160.8,True,True,False,True,True,False,22.0,NEET UG,7097
Government College of Nursing Solan,Solan,Himachal Pradesh,Government,2016,61,A,54,1205,4.1,221484,74600,True,88.1,17.35,43.13,400,1849.0,True,False,False,False,False,False,77.2,MHT CET,4953
State Institute of Information Technology Baramulla,Baramulla,J&K,Government,1880,75,B,147,804,1.7,,68966,False,94.3,22.26,155.43,279,1195.7,True,True,True,True,True,False,82.6,JEE Main,1387
Modern Institute of Information Technology Delhi,Delhi,Delhi,Private,2019,363,B,174,508,5.8,204137,90167,False,41.7,4.75,22.84,371,1638.0,True,True,False,True,True,False,80.4,TS EAMCET,2959
Welcome Group Graduate School of Hotel Administration,Manipal,Karnataka,Private,1986,361,A,128,751,0.3,339360,167845,True,,4.24,19.8,562,,True,False,True,True,False,False,8.5,MET,200
Excel Institute of Nursing Tura,Tura,Meghalaya,Private,1919,,A,97,986,2.3,264572,119046,True,49.6,,,387,1072.2,True,True,True,True,False,False,74.7,University Entrance,2289
Agartala College of Computer Science,Agartala,Tripura,Private,1905,179,B,11,1107,4.7,751243,144777,True,69.9,10.54,60.54,137,130.5,True,True,True,True,False,False,78.9,State Level,5226
Government Medical Sciences College Aizawl,Aizawl,Mizoram,Government,2013,200,A,49,1119,7.1,97167,162846,True,85.7,9.49,64.45,281,2276.0,True,False,False,True,True,True,30.3,CUET,7968
State Institute of Pharmacy Satna,Satna,Madhya Pradesh,Government,1996,159,A,95,1102,7.0,48361,164323,False,66.9,12.52,43.51,245,1460.7,True,True,False,True,True,False,40.1,CLAT,7723
Raman Institute of Technology Kharagpur,Kharagpur,West Bengal,private,1918,247,B+,115,1360,4.3,281872,54377,True,56.6,8.93,47.41,121,241.1,True,True,True,True,True,False,80.5,TS EAMCET,5896
District Homeopathy College Puducherry,Puducherry,Puducherry,Government,1949,,A,219,412,8.5,39036,36744,True,63.6,2.49,17.26,152,1442.2,True,True,True,True,True,True,67.4,AP EAMCET,3486
Purnia Management Autonomous College,Purnia,Bihar,Autonomous,2014,338,B++,229,81,63.1,,141676,True,30.1,2.49,16.18,18,1810.2,True,True,True,True,True,False,62.2,UPSEE,5113
District Technology College Kohima,Kohima,Nagaland,Government,1899,170,A+,117,1198,1.3,44323,65469,True,66.3,10.09,39.7,172,,False,False,False,False,False,False,77.5,BITSAT,1544
Durgapur Law Autonomous College,Durgapur,West Bengal,Autonomous,1884,227,,195,703,5.5,104783,136001,False,30.7,3.82,11.26,295,1046.8,True,False,False,False,True,False,36.5,TNEA,3900
State Institute of Physical Education Berhampur,Berhampur,Odisha,Government,1904,,B++,42,1084,1.4,41243,161925,True,60.1,2.28,12.16,79,1195.3,False,False,False,False,True,False,84.1,CUET,1472
Vidyasagar College of Homeopathy and Research Karimnagar,Karimnagar,Telangana,Private,1980,415,A,16,687,11.2,259272,179245,True,54.8,5.22,16.77,440,1228.1,True,True,True,True,True,True,39.7,University Entrance,7676
Nehru Autonomous Institute Delhi,Delhi,New Delhi,Autonomous,1951,44,,220,1346,1.3,407490,59276,True,76.5,6.0,21.28,216,,True,False,False,False,True,True,54.1,BITSAT,1723
Excel Institute of Homeopathy Prayagraj,Prayagraj,Uttar Pradesh,Private,1921,337,A,179,318,15.7,319973,163006,True,29.9,2.95,7.27,691,2198.4,True,False,True,True,True,True,13.5,TNEA,4995
Global Academy of Education Imphal,Imphal,Manipur,Private,1991,,B++,52,1094,2.6,262546,85633,True,36.5,2.46,7.03,278,1451.7,True,True,True,True,True,True,25.1,JEE Advanced,2883
Meera Foundation Pharmacy College Margao,Margao,Goa,Private,2022,,B++,67,737,5.2,618501,142881,False,,27.75,143.26,186,837.2,True,True,True,True,True,True,9.0,VITEEE,3815
Kannur College of Physical Education,Kannur,Kerala,Private,1976,183,B+,82,317,5.4,302509,172821,True,73.4,11.41,69.42,485,1673.2,False,True,True,True,True,True,1.4,CUET,1725
Amritsar Government Management College,Amritsar,Punjab,Government,1966,,,152,1297,1.9,66553,159159,False,77.0,14.55,41.26,656,201.9,True,True,True,True,True,True,23.9,WBJEE,2404
Sri Ramanujan Institute of Information Technology Raipur,Raipur,Chhattisgarh,Private,1998,,A+,129,917,6.0,644827,136698,True,65.8,6.0,41.95,255,921.3,True,True,True,True,False,True,57.6,NATA,5504
Pune College of Education,Pune,Maharashtra,Private,1868,236,A+,201,,,245676,165635,True,71.2,11.74,38.22,319,1385.4,True,True,True,True,True,True,65.2,Own Entrance,4634
District Social Work College Naharlagun,Naharlagun,Arunachal Pradesh,Government,1964,161,B++,6,175,20.2,26766,34845,True,76.7,14.84,75.89,491,1640.1,False,True,True,True,True,True,76.3,JEE Main,3540
State Institute of Management Gangtok,Gangtok,Sikkim,Government,1856,,A,194,754,6.4,209607,153030,False,88.6,27.76,128.87,436,30.5,True,True,True,True,True,False,37.4,GATE,4811
Laxmi Autonomous Institute Karimnagar,Karimnagar,Telangana,Autonomous,1975,,A,219,1298,6.1,127444,45657,True,23.1,2.23,10.85,466,2353.5,False,True,False,False,True,False,43.3,TNEA,7924
Meera Institute of Applied Sciences Margao,Margao,Goa,Private,1919,,A,213,811,4.7,278991,58362,True,33.4,2.25,5.9,573,2459.7,False,False,False,True,False,True,1.3,UPSEE,3820
State Institute of Nursing Aizawl,Aizawl,Mizoram,Government,2001,325,A,175,1222,2.8,33478,91805,False,30.5,2.98,9.32,79,1783.1,False,False,True,False,False,False,62.7,NEET UG,3450
Sri Aryabhata Institute of Commerce Imphal,Imphal,Manipur,Private,1857,184,,87,817,3.3,106446,103804,True,34.5,4.59,19.24,573,912.1,True,False,True,True,True,True,3.7,JEE Advanced,2711
Academy of Management Siliguri,Siliguri,West Bengal,Deemed,1927,297,,249,654,3.9,226612,141491,False,31.7,5.16,14.29,665,2085.9,True,True,True,False,True,False,40.7,UPSEE,2549
Indian Institute of Management Bangalore,Bangalore,Karnataka,Government,1973,174,A++,136,865,0.5,64174,138486,False,66.7,12.95,75.69,294,1737.4,True,True,False,False,False,True,74.7,CAT,450
Mumbai Institute of Commerce (Deemed),Mumbai,Maharashtra,Deemed,1934,185,A,126,797,4.6,395601,101319,False,68.7,8.32,51.27,64,2234.9,True,True,True,True,False,False,79.9,JEE Main,3636
Government Technology College Mysore,Mysore,karnataka,Government,1947,111,A,232,1236,4.7,33056,172948,True,75.6,6.26,39.5,433,1593.0,True,True,True,True,True,True,57.1,MHT CET,5783
Autonomous College of Technology Delhi,Delhi,Delhi,Autonomous,1850,65,A+,102,561,10.7,160814,129188,True,72.6,9.61,38.5,675,206.2,True,False,False,True,False,True,9.7,VITEEE,6021
Government College of Social Work Namchi,Namchi,Sikkim,Government,1939,152,A,76,515,2.9,21169,53606,True,,5.34,28.38,393,,True,True,False,True,True,True,80.8,GATE,1506
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,Government,1949,197,A++,127,759,3.3,58296,105134,True,75.4,5.3,23.2,482,2114.7,False,True,False,False,False,False,24.7,Own Entrance,2500
Aryabhatta University Dharamsala,Dharamsala,Himachal Pradesh,Private,1858,216,A,67,383,5.0,364497,111356,True,80.8,5.98,17.14,376,170.0,True,True,True,True,True,True,13.9,UPSEE,1904
Government Agriculture College Agartala,Agartala,Tripura,Government,1966,,B+,68,685,11.2,164698,131900,True,87.0,,,68,435.6,False,False,True,False,True,True,54.9,WBJEE,7701
Prime College of Commerce Kohima,Kohima,Nagaland,Private,1943,133,B+,168,355,17.6,602258,24001,True,79.9,8.63,29.55,480,78.7,True,True,True,True,True,True,33.2,UPSEE,6258
State Institute of Science Gangtok,Gangtok,Sikkim,Government,1899,,,143,1189,2.0,43303,100150,True,42.9,5.07,33.82,666,1649.1,True,True,True,True,True,True,7.5,MHT CET,2388
District Law College Rourkela,Rourkela,Odisha,Government,1991,174,A,185,513,14.3,75044,127235,False,69.1,9.26,44.79,672,2301.8,True,True,True,False,False,False,66.5,TNEA,7324
Pune Institute of Applied Sciences (Deemed),Pune,Maharashtra,Deemed,1940,,A,99,93,83.8,93354,130026,True,30.1,5.03,17.66,187,2242.5,True,True,True,True,True,True,69.9,NEET UG,7797
Agra Government Management College,Agra,Uttar Pradesh,Govt,1869,123,B++,19,376,18.2,79237,131654,True,79.0,14.69,37.21,311,395.7,True,False,False,False,True,True,75.2,BITSAT,6860
Government Commerce College Hamirpur,Hamirpur,Himachal Pradesh,Government,1941,364,B++,143,63,67.7,20278,169707,False,64.4,5.89,22.79,186,156.2,True,True,True,True,True,True,3.2,SRMJEEE,4263
District Physical Education College Tura,Tura,Meghalaya,Government,1937,,B+,71,417,2.0,61551,66507,True,81.3,,,421,503.1,True,True,False,True,False,True,30.5,CLAT,845
Government Fashion Design College Mohali,Mohali,Punjab,Government,1859,162,A+,39,813,4.5,97744,27722,True,86.2,8.21,45.1,662,1435.3,True,False,True,True,True,True,17.8,NEET UG,3677
Kalyani University,Kalyani,West Bengal,Government,1960,,A,234,78,10.3,7284,39115,False,32.5,4.91,28.9,519,373.8,True,False,True,True,True,True,54.8,Own Entrance,800
Puri Institute of Fashion Design (Deemed),Puri,Odisha,Deemed,1903,232,A,103,1207,5.6,,155828,False,64.7,8.43,21.23,14,1921.8,True,True,True,True,True,True,28.2,NATA,6719
IISER Pune,Pune,Maharashtra,Government,2006,42,A++,177,261,0.8,226250,88724,False,93.2,30.92,207.21,249,1179.7,True,True,False,True,True,True,53.0,IAT,200
Raman College of Arts and Research Mysore,Mysore,Karnataka,Private,1907,155,A,208,279,3.2,438891,65694,True,64.8,8.14,55.16,229,397.5,True,True,True,True,True,True,62.6,UPSEE,887
Government Polytechnic Patiala,Patiala,Punjab,Government,1987,433,,45,256,16.0,32015,47782,False,34.7,4.94,13.45,296,2086.7,True,True,True,True,False,True,50.0,University Entrance,4086
Ambedkar College of Education and Research Cuttack,Cuttack,Odisha,Private,1903,175,A,35,468,10.8,172518,129444,True,44.8,3.77,19.83,61,2453.2,True,False,True,True,False,True,15.8,JEE Main,5069
National Law University Delhi,New Delhi,Delhi,Government,2008,87,A+,198,1073,0.1,255713,117251,False,85.9,16.74,76.41,258,447.6,True,True,True,True,True,True,52.3,AILET,120
Rani University Nizamabad,Nizamabad,Telangana,Private,1912,190,B+,230,1084,1.1,392736,140944,False,50.2,3.71,23.84,691,1317.2,False,False,True,False,False,False,70.9,BITSAT,1236
Raman Deemed University Agartala,Agartala,Tripura,Deemed,1920,226,A,246,1264,3.8,592330,118355,True,52.3,6.5,42.14,21,2207.2,True,False,True,False,False,False,44.1,COMEDK,4765
Bharathiar University,Coimbatore,Tamil Nadu,Govt,1982,,A+,104,636,2.4,91122,20048,True,82.4,11.61,49.52,640,1445.7,False,True,False,True,False,True,17.4,Own Entrance,1500
Dayanand Institute of Management Tura,Tura,Meghalaya,Private,1926,245,B,191,1419,3.2,205436,71675,True,49.9,2.61,18.08,544,664.1,False,True,False,True,True,True,53.3,GATE,4520
Government Medical Sciences College Hisar,Hisar,Haryana,Government,1972,78,A,241,251,15.2,61171,152562,False,66.1,5.42,28.16,422,1291.8,True,True,False,True,True,True,27.7,KCET,3812
Global Academy of Veterinary Science Guwahati,Guwahati,Assam,Private,1869,54,B++,69,863,7.9,729152,98619,True,66.7,8.32,24.96,649,1289.4,True,False,True,True,True,True,57.4,State Level,6808
Sri Saraswati Institute of Fine Arts Gangtok,Gangtok,Sikkim,Private,1970,76,B,7,1429,3.2,1217826,156020,True,93.4,16.89,46.75,271,1558.4,True,True,True,True,True,True,41.3,JEE Advanced,4623
Chanakya University Gandhinagar,Gandhinagar,Gujarat,Private,1857,155,A,33,239,9.2,,83918,False,31.5,3.13,21.52,199,1108.4,True,False,False,True,False,False,46.5,NEET UG,2198
Modern Institute of Fine Arts Baramulla,Baramulla,Jammu & Kashmir,Private,1852,233,A,240,1433,2.7,,136543,True,55.3,9.95,57.63,376,480.4,True,False,False,True,True,False,69.6,CUET,3850
Bharati Deemed University Sambalpur,Sambalpur,Odisha,Deemed,1985,228,B+,241,242,24.5,297774,65029,True,75.2,6.99,48.01,229,2301.4,False,True,True,True,True,False,72.5,GATE,5923
Jamia Hamdard,New Delhi,Delhi,Deemed,1989,,A+,187,626,1.6,529843,120748,True,76.1,6.1,32.21,621,145.5,True,False,False,True,True,True,66.0,Own Entrance,1000
Tilak Autonomous Institute Kharagpur,Kharagpur,West Bengal,Autonomous,1979,66,B+,84,94,11.4,53442,46771,False,57.1,8.25,38.06,80,260.8,True,True,True,False,True,True,84.9,VITEEE,1069
Government College of Commerce Vasco da Gama,Vasco da Gama,Goa,Government,1877,6,B+,31,975,7.2,297477,162908,True,85.8,29.86,87.8,319,2057.7,True,False,True,True,False,False,66.7,SRMJEEE,7056
Laxmi College of Fine Arts and Research Vellore,Vellore,Tamil Nadu,Private,1910,78,A+,17,1448,1.4,916909,26476,True,92.5,25.19,100.92,483,418.2,False,True,False,False,False,False,77.9,VITEEE,2095
Bhabha Deemed University Naharlagun,Naharlagun,Arunachal Pradesh,Deemed,1897,157,B,63,328,17.0,230036,93199,True,64.5,7.45,45.85,673,1164.8,False,True,True,True,False,True,78.6,JEE Main,5563
Government Medical Sciences College Bardhaman,Bardhaman,West Bengal,Government,2000,,A,192,1042,4.1,22281,173171,False,47.5,3.69,15.5,436,2059.9,True,True,True,True,True,True,13.1,COMEDK,4311
