name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake,institution_age,fee_category,region,infrastructure_score,naac_numeric
Welcome Group Graduate School of Hotel Administration,Manipal,Karnataka,Private,1986,361.0,A,128,751.0,0.3,339360.0,167845,True,60.7,4.24,19.8,562,,True,False,True,True,False,False,8.5,MET,200,40,Medium (1-5L),South,3,4
Excel Institute of Nursing Tura,Tura,Meghalaya,Private,1919,,A,97,986.0,2.3,264572.0,119046,True,49.6,5.48,25.145,387,1072.2,True,True,True,True,False,False,74.7,University Entrance,2289,107,Medium (1-5L),Northeast,4,4
Agartala College of Computer Science,Agartala,Tripura,Private,1905,179.0,B,11,1107.0,4.7,751243.0,144777,True,69.9,10.54,60.54,137,130.5,True,True,True,True,False,False,78.9,State Level,5226,121,High (>5L),Northeast,4,1
Government Medical Sciences College Aizawl,Aizawl,Mizoram,Government,2013,200.0,A,49,1119.0,7.1,97167.0,162846,True,85.7,9.49,64.45,281,2276.0,True,False,False,True,True,True,30.3,CUET,7968,13,Low (<1L),Northeast,4,4
State Institute of Pharmacy Satna,Satna,Madhya Pradesh,Government,1996,159.0,A,95,1102.0,7.0,48361.0,164323,False,66.9,12.52,43.51,245,1460.7,True,True,False,True,True,False,40.1,CLAT,7723,30,Low (<1L),Central,4,4
Raman Institute of Technology Kharagpur,Kharagpur,West Bengal,Private,1918,247.0,B+,115,1360.0,4.3,281872.0,54377,True,56.6,8.93,47.41,121,241.1,True,True,True,True,True,False,80.5,TS EAMCET,5896,108,Medium (1-5L),East,5,2
District Homeopathy College Puducherry,Puducherry,Puducherry,Government,1949,,A,219,412.0,8.5,39036.0,36744,True,63.6,2.49,17.26,152,1442.2,True,True,True,True,True,True,67.4,AP EAMCET,3486,77,Low (<1L),South,6,4
Purnia Management Autonomous College,Purnia,Bihar,Autonomous,2014,338.0,B++,229,81.0,63.1,123346.0,141676,True,30.1,2.49,16.18,18,1810.2,True,True,True,True,True,False,62.2,UPSEE,5113,12,Medium (1-5L),East,5,3
District Technology College Kohima,Kohima,Nagaland,Government,1899,170.0,A+,117,1198.0,1.3,44323.0,65469,True,66.3,10.09,39.7,172,,False,False,False,False,False,False,77.5,BITSAT,1544,127,Low (<1L),Northeast,0,5
Durgapur Law Autonomous College,Durgapur,West Bengal,Autonomous,1884,227.0,B++,195,703.0,5.5,104783.0,136001,False,30.7,3.82,11.26,295,1046.8,True,False,False,False,True,False,36.5,TNEA,3900,142,Medium (1-5L),East,2,3
State Institute of Physical Education Berhampur,Berhampur,Odisha,Government,1904,,B++,42,1084.0,1.4,41243.0,161925,True,60.1,2.28,12.16,79,1195.3,False,False,False,False,True,False,84.1,CUET,1472,122,Low (<1L),East,1,3
Vidyasagar College of Homeopathy and Research Karimnagar,Karimnagar,Telangana,Private,1980,415.0,A,16,687.0,11.2,259272.0,179245,True,54.8,5.22,16.77,440,1228.1,True,True,True,True,True,True,39.7,University Entrance,7676,46,Medium (1-5L),South,6,4
Nehru Autonomous Institute Delhi,Delhi,Delhi,Autonomous,1951,44.0,B++,220,1346.0,1.3,407490.0,59276,True,76.5,6.0,21.28,216,,True,False,False,False,True,True,54.1,BITSAT,1723,75,Medium (1-5L),North,3,3
Excel Institute of Homeopathy Prayagraj,Prayagraj,Uttar Pradesh,Private,1921,337.0,A,179,318.0,15.7,319973.0,163006,True,29.9,2.95,7.27,691,2198.4,True,False,True,True,True,True,13.5,TNEA,4995,105,Medium (1-5L),North,5,4
Global Academy of Education Imphal,Imphal,Manipur,Private,1991,,B++,52,1094.0,2.6,262546.0,85633,True,36.5,2.46,7.03,278,1451.7,True,True,True,True,True,True,25.1,JEE Advanced,2883,35,Medium (1-5L),Other,6,3
Meera Foundation Pharmacy College Margao,Margao,Goa,Private,2022,,B++,67,737.0,5.2,618501.0,142881,False,60.7,27.75,143.26,186,837.2,True,True,True,True,True,True,9.0,VITEEE,3815,4,High (>5L),West,6,3
Kannur College of Physical Education,Kannur,Kerala,Private,1976,183.0,B+,82,317.0,5.4,302509.0,172821,True,73.4,11.41,69.42,485,1673.2,False,True,True,True,True,True,1.4,CUET,1725,50,Medium (1-5L),South,5,2
Amritsar Government Management College,Amritsar,Punjab,Government,1966,,A,152,1297.0,1.9,66553.0,159159,False,77.0,14.55,41.26,656,201.9,True,True,True,True,True,True,23.9,WBJEE,2404,60,Low (<1L),North,6,4
Sri Ramanujan Institute of Information Technology Raipur,Raipur,Chhattisgarh,Private,1998,,A+,129,917.0,6.0,644827.0,136698,True,65.8,6.0,41.95,255,921.3,True,True,True,True,False,True,57.6,NATA,5504,28,High (>5L),Central,5,5
Pune College of Education,Pune,Maharashtra,Private,1868,236.0,A+,201,779.0,4.8,245676.0,165635,True,71.2,11.74,38.22,319,1385.4,True,True,True,True,True,True,65.2,Own Entrance,4634,158,Medium (1-5L),West,6,5
District Social Work College Naharlagun,Naharlagun,Arunachal Pradesh,Government,1964,161.0,B++,6,175.0,20.2,26766.0,34845,True,76.7,14.84,75.89,491,1640.1,False,True,True,True,True,True,76.3,JEE Main,3540,62,Low (<1L),Northeast,5,3
State Institute of Management Gangtok,Gangtok,Sikkim,Government,1856,,A,194,754.0,6.4,209607.0,153030,False,88.6,27.76,128.87,436,30.5,True,True,True,True,True,False,37.4,GATE,4811,170,Medium (1-5L),Northeast,5,4
Laxmi Autonomous Institute Karimnagar,Karimnagar,Telangana,Autonomous,1975,,A,219,1298.0,6.1,127444.0,45657,True,23.1,2.23,10.85,466,2353.5,False,True,False,False,True,False,43.3,TNEA,7924,51,Medium (1-5L),South,2,4
Meera Institute of Applied Sciences Margao,Margao,Goa,Private,1919,,A,213,811.0,4.7,278991.0,58362,True,33.4,2.25,5.9,573,2459.7,False,False,False,True,False,True,1.3,UPSEE,3820,107,Medium (1-5L),West,2,4
State Institute of Nursing Aizawl,Aizawl,Mizoram,Government,2001,325.0,A,175,1222.0,2.8,33478.0,91805,False,30.5,2.98,9.32,79,1783.1,False,False,True,False,False,False,62.7,NEET UG,3450,25,Low (<1L),Northeast,1,4
Sri Aryabhata Institute of Commerce Imphal,Imphal,Manipur,Private,1857,184.0,A,87,817.0,3.3,106446.0,103804,True,34.5,4.59,19.24,573,912.1,True,False,True,True,True,True,3.7,JEE Advanced,2711,169,Medium (1-5L),Other,5,4
Academy of Management Siliguri,Siliguri,West Bengal,Deemed,1927,297.0,A,249,654.0,3.9,226612.0,141491,False,31.7,5.16,14.29,665,2085.9,True,True,True,False,True,False,40.7,UPSEE,2549,99,Medium (1-5L),East,4,4
Indian Institute of Management Bangalore,Bangalore,Karnataka,Government,1973,174.0,A++,136,865.0,0.5,64174.0,138486,False,66.7,12.95,75.69,294,1737.4,True,True,False,False,False,True,74.7,CAT,450,53,Low (<1L),South,3,6
Mumbai Institute of Commerce (Deemed),Mumbai,Maharashtra,Deemed,1934,185.0,A,126,797.0,4.6,395601.0,101319,False,68.7,8.32,51.27,64,2234.9,True,True,True,True,False,False,79.9,JEE Main,3636,92,Medium (1-5L),West,4,4
Government Technology College Mysore,Mysore,Karnataka,Government,1947,111.0,A,232,1236.0,4.7,33056.0,172948,True,75.6,6.26,39.5,433,1593.0,True,True,True,True,True,True,57.1,MHT CET,5783,79,Low (<1L),South,6,4
Autonomous College of Technology Delhi,Delhi,Delhi,Autonomous,1850,65.0,A+,102,561.0,10.7,160814.0,129188,True,72.6,9.61,38.5,675,206.2,True,False,False,True,False,True,9.7,VITEEE,6021,176,Medium (1-5L),North,3,5
Government College of Social Work Namchi,Namchi,Sikkim,Government,1939,152.0,A,76,515.0,2.9,21169.0,53606,True,71.9,5.34,28.38,393,,True,True,False,True,True,True,80.8,GATE,1506,87,Low (<1L),Northeast,5,4
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,Government,1949,197.0,A++,127,759.0,3.3,58296.0,105134,True,75.4,5.3,23.2,482,2114.7,False,True,False,False,False,False,24.7,Own Entrance,2500,77,Low (<1L),West,1,6
Aryabhatta University Dharamsala,Dharamsala,Himachal Pradesh,Private,1858,216.0,A,67,383.0,5.0,364497.0,111356,True,80.8,5.98,17.14,376,170.0,True,True,True,True,True,True,13.9,UPSEE,1904,168,Medium (1-5L),North,6,4
Government Agriculture College Agartala,Agartala,Tripura,Government,1966,,B+,68,685.0,11.2,164698.0,131900,True,87.0,8.07,32.5,68,435.6,False,False,True,False,True,True,54.9,WBJEE,7701,60,Medium (1-5L),Northeast,3,2
Prime College of Commerce Kohima,Kohima,Nagaland,Private,1943,133.0,B+,168,355.0,17.6,602258.0,24001,True,79.9,8.63,29.55,480,78.7,True,True,True,True,True,True,33.2,UPSEE,6258,83,High (>5L),Northeast,6,2
State Institute of Science Gangtok,Gangtok,Sikkim,Government,1899,,A,143,1189.0,2.0,43303.0,100150,True,42.9,5.07,33.82,666,1649.1,True,True,True,True,True,True,7.5,MHT CET,2388,127,Low (<1L),Northeast,6,4
District Law College Rourkela,Rourkela,Odisha,Government,1991,174.0,A,185,513.0,14.3,75044.0,127235,False,69.1,9.26,44.79,672,2301.8,True,True,True,False,False,False,66.5,TNEA,7324,35,Low (<1L),East,3,4
Pune Institute of Applied Sciences (Deemed),Pune,Maharashtra,Deemed,1940,,A,99,93.0,83.8,93354.0,130026,True,30.1,5.03,17.66,187,2242.5,True,True,True,True,True,True,69.9,NEET UG,7797,86,Low (<1L),West,6,4
Agra Government Management College,Agra,Uttar Pradesh,Government,1869,123.0,B++,19,376.0,18.2,79237.0,131654,True,79.0,14.69,37.21,311,395.7,True,False,False,False,True,True,75.2,BITSAT,6860,157,Low (<1L),North,3,3
Government Commerce College Hamirpur,Hamirpur,Himachal Pradesh,Government,1941,364.0,B++,143,63.0,67.7,20278.0,169707,False,64.4,5.89,22.79,186,156.2,True,True,True,True,True,True,3.2,SRMJEEE,4263,85,Low (<1L),North,6,3
District Physical Education College Tura,Tura,Meghalaya,Government,1937,,B+,71,417.0,2.0,61551.0,66507,True,81.3,8.07,32.5,421,503.1,True,True,False,True,False,True,30.5,CLAT,845,89,Low (<1L),Northeast,4,2
Government Fashion Design College Mohali,Mohali,Punjab,Government,1859,162.0,A+,39,813.0,4.5,97744.0,27722,True,86.2,8.21,45.1,662,1435.3,True,False,True,True,True,True,17.8,NEET UG,3677,167,Low (<1L),North,5,5
Kalyani University,Kalyani,West Bengal,Government,1960,,A,234,78.0,10.3,7284.0,39115,False,32.5,4.91,28.9,519,373.8,True,False,True,True,True,True,54.8,Own Entrance,800,66,Low (<1L),East,5,4
Puri Institute of Fashion Design (Deemed),Puri,Odisha,Deemed,1903,232.0,A,103,1207.0,5.6,309813.0,155828,False,64.7,8.43,21.23,14,1921.8,True,True,True,True,True,True,28.2,NATA,6719,123,Medium (1-5L),East,6,4
IISER Pune,Pune,Maharashtra,Government,2006,42.0,A++,177,261.0,0.8,226250.0,88724,False,93.2,30.92,207.21,249,1179.7,True,True,False,True,True,True,53.0,IAT,200,20,Medium (1-5L),West,5,6
Raman College of Arts and Research Mysore,Mysore,Karnataka,Private,1907,155.0,A,208,279.0,3.2,438891.0,65694,True,64.8,8.14,55.16,229,397.5,True,True,True,True,True,True,62.6,UPSEE,887,119,Medium (1-5L),South,6,4
Government Polytechnic Patiala,Patiala,Punjab,Government,1987,433.0,A,45,256.0,16.0,32015.0,47782,False,34.7,4.94,13.45,296,2086.7,True,True,True,True,False,True,50.0,University Entrance,4086,39,Low (<1L),North,5,4
Ambedkar College of Education and Research Cuttack,Cuttack,Odisha,Private,1903,175.0,A,35,468.0,10.8,172518.0,129444,True,44.8,3.77,19.83,61,2453.2,True,False,True,True,False,True,15.8,JEE Main,5069,123,Medium (1-5L),East,4,4
National Law University Delhi,New Delhi,Delhi,Government,2008,87.0,A+,198,1073.0,0.1,255713.0,117251,False,85.9,16.74,76.41,258,447.6,True,True,True,True,True,True,52.3,AILET,120,18,Medium (1-5L),North,6,5
Rani University Nizamabad,Nizamabad,Telangana,Private,1912,190.0,B+,230,1084.0,1.1,392736.0,140944,False,50.2,3.71,23.84,691,1317.2,False,False,True,False,False,False,70.9,BITSAT,1236,114,Medium (1-5L),South,1,2
Raman Deemed University Agartala,Agartala,Tripura,Deemed,1920,226.0,A,246,1264.0,3.8,592330.0,118355,True,52.3,6.5,42.14,21,2207.2,True,False,True,False,False,False,44.1,COMEDK,4765,106,High (>5L),Northeast,2,4
Bharathiar University,Coimbatore,Tamil Nadu,Government,1982,,A+,104,636.0,2.4,91122.0,20048,True,82.4,11.61,49.52,640,1445.7,False,True,False,True,False,True,17.4,Own Entrance,1500,44,Low (<1L),South,3,5
Dayanand Institute of Management Tura,Tura,Meghalaya,Private,1926,245.0,B,191,1419.0,3.2,205436.0,71675,True,49.9,2.61,18.08,544,664.1,False,True,False,True,True,True,53.3,GATE,4520,100,Medium (1-5L),Northeast,4,1
Government Medical Sciences College Hisar,Hisar,Haryana,Government,1972,78.0,A,241,251.0,15.2,61171.0,152562,False,66.1,5.42,28.16,422,1291.8,True,True,False,True,True,True,27.7,KCET,3812,54,Low (<1L),North,5,4
Global Academy of Veterinary Science Guwahati,Guwahati,Assam,Private,1869,54.0,B++,69,863.0,7.9,729152.0,98619,True,66.7,8.32,24.96,649,1289.4,True,False,True,True,True,True,57.4,State Level,6808,157,High (>5L),Northeast,5,3
Sri Saraswati Institute of Fine Arts Gangtok,Gangtok,Sikkim,Private,1970,76.0,B,7,1429.0,3.2,1217826.0,156020,True,93.4,16.89,46.75,271,1558.4,True,True,True,True,True,True,41.3,JEE Advanced,4623,56,High (>5L),Northeast,6,1
Chanakya University Gandhinagar,Gandhinagar,Gujarat,Private,1857,155.0,A,33,239.0,9.2,378116.0,83918,False,31.5,3.13,21.52,199,1108.4,True,False,False,True,False,False,46.5,NEET UG,2198,169,Medium (1-5L),West,2,4
Modern Institute of Fine Arts Baramulla,Baramulla,Jammu & Kashmir,Private,1852,233.0,A,240,1433.0,2.7,378116.0,136543,True,55.3,9.95,57.63,376,480.4,True,False,False,True,True,False,69.6,CUET,3850,174,Medium (1-5L),North,3,4
Bharati Deemed University Sambalpur,Sambalpur,Odisha,Deemed,1985,228.0,B+,241,242.0,24.5,297774.0,65029,True,75.2,6.99,48.01,229,2301.4,False,True,True,True,True,False,72.5,GATE,5923,41,Medium (1-5L),East,4,2
Jamia Hamdard,New Delhi,Delhi,Deemed,1989,,A+,187,626.0,1.6,529843.0,120748,True,76.1,6.1,32.21,621,145.5,True,False,False,True,True,True,66.0,Own Entrance,1000,37,High (>5L),North,4,5
Tilak Autonomous Institute Kharagpur,Kharagpur,West Bengal,Autonomous,1979,66.0,B+,84,94.0,11.4,53442.0,46771,False,57.1,8.25,38.06,80,260.8,True,True,True,False,True,True,84.9,VITEEE,1069,47,Low (<1L),East,5,2
Government College of Commerce Vasco da Gama,Vasco da Gama,Goa,Government,1877,6.0,B+,31,975.0,7.2,297477.0,162908,True,85.8,29.86,87.8,319,2057.7,True,False,True,True,False,False,66.7,SRMJEEE,7056,149,Medium (1-5L),West,3,2
Laxmi College of Fine Arts and Research Vellore,Vellore,Tamil Nadu,Private,1910,78.0,A+,17,1448.0,1.4,916909.0,26476,True,92.5,25.19,100.92,483,418.2,False,True,False,False,False,False,77.9,VITEEE,2095,116,High (>5L),South,1,5
Bhabha Deemed University Naharlagun,Naharlagun,Arunachal Pradesh,Deemed,1897,157.0,B,63,328.0,17.0,230036.0,93199,True,64.5,7.45,45.85,673,1164.8,False,True,True,True,False,True,78.6,JEE Main,5563,129,Medium (1-5L),Northeast,4,1
Government Medical Sciences College Bardhaman,Bardhaman,West Bengal,Government,2000,,A,192,1042.0,4.1,22281.0,173171,False,47.5,3.69,15.5,436,2059.9,True,True,True,True,True,True,13.1,COMEDK,4311,26,Low (<1L),East,6,4
Institute of Hotel Management Delhi,New Delhi,Delhi,Government,1962,,A+,120,1106.0,0.3,50553.0,136627,False,83.0,14.39,82.59,433,420.0,False,True,True,True,True,False,72.8,NCHM JEE,300,64,Low (<1L),North,4,5
Modern Institute of Journalism Baramulla,Baramulla,Jammu & Kashmir,Private,1864,232.0,A,152,831.0,8.2,224356.0,139664,False,74.4,7.05,29.14,666,1685.1,True,True,False,False,False,False,2.6,CLAT,6837,162,Medium (1-5L),North,2,4
Rajasthan State Ayurveda College Bikaner,Bikaner,Rajasthan,Government,1873,47.0,A,123,1459.0,2.7,232034.0,32142,False,95.1,28.46,197.38,291,1418.9,True,True,True,False,True,False,8.8,NATA,3968,153,Medium (1-5L),North,4,4
Laxmi College of Ayurveda and Research Hyderabad,Hyderabad,Telangana,Private,1995,,A,245,1204.0,3.0,153637.0,88424,True,43.4,4.17,10.95,568,2303.2,True,True,True,False,False,True,83.2,VITEEE,3554,31,Medium (1-5L),South,4,4
Autonomous College of Technology Hyderabad,Hyderabad,Telangana,Autonomous,1924,16.0,A+,29,1001.0,1.8,282871.0,146727,False,88.7,14.3,60.56,643,2085.9,False,True,True,True,True,True,66.8,VITEEE,1834,102,Medium (1-5L),South,5,5
Excel Institute of Pharmacy Imphal,Imphal,Manipur,Private,1961,,A+,7,269.0,7.1,771328.0,92186,True,88.5,11.59,72.07,689,2339.9,True,False,True,True,True,True,67.6,COMEDK,1900,65,High (>5L),Other,5,5
Prime College of Dental Sciences Durg,Durg,Chhattisgarh,Private,1905,167.0,A,207,1265.0,4.6,353967.0,170553,True,52.7,4.48,27.82,89,645.7,True,True,True,True,True,True,77.8,UPSEE,5786,121,Medium (1-5L),Central,6,4
Jamshedpur Institute of Ayurveda (Deemed),Jamshedpur,Jharkhand,Deemed,1938,235.0,B+,215,1082.0,4.0,357900.0,61600,True,51.4,8.82,29.44,583,1959.0,True,True,True,False,False,True,23.1,UPSEE,4350,88,Medium (1-5L),East,4,2
Government College of Arts Thiruvananthapuram,Thiruvananthapuram,Kerala,Government,1892,178.0,B,215,1204.0,1.9,45828.0,61657,True,73.8,12.73,86.9,331,202.6,False,False,False,False,False,True,44.2,CLAT,2302,134,Low (<1L),South,1,1
Government College of Pharmacy Sambalpur,Sambalpur,Odisha,Government,1891,274.0,B,183,1133.0,6.1,16201.0,167994,True,56.9,2.25,9.57,452,411.7,False,False,True,False,True,True,39.4,TS EAMCET,6961,135,Low (<1L),East,3,1
Sri Raman Institute of Agriculture Nagpur,Nagpur,Maharashtra,Private,1900,8.0,A+,92,773.0,1.8,378116.0,20244,False,97.2,20.61,142.94,329,2333.2,False,False,False,True,False,False,34.6,TNEA,1403,126,Medium (1-5L),West,1,5
State Institute of Physical Education Vasco da Gama,Vasco da Gama,Goa,Government,2009,415.0,B+,224,628.0,11.4,8743.0,48628,True,49.4,5.81,38.71,557,1159.8,True,False,True,True,True,False,49.1,TS EAMCET,7152,17,Low (<1L),West,4,2
Global Academy of Dental Sciences Roorkee,Roorkee,Uttarakhand,Private,2003,240.0,B++,241,875.0,2.8,659251.0,140510,False,79.9,4.61,16.41,411,1396.0,True,True,True,False,True,False,38.7,CLAT,2437,23,High (>5L),North,4,3
Chandigarh Institute of Journalism (Deemed),Chandigarh,Chandigarh,Deemed,1934,,B+,120,773.5,5.2,86024.0,139649,True,31.7,5.82,25.11,334,2403.1,True,True,True,True,True,True,30.6,TS EAMCET,3387,92,Low (<1L),North,6,2
Modern Institute of Agriculture Kullu,Kullu,Himachal Pradesh,Private,1860,153.0,B,220,416.0,10.9,542129.0,59382,False,65.8,10.55,48.29,171,2426.8,True,True,False,True,False,False,39.5,GATE,4522,166,High (>5L),North,3,1
Sapru Institute of Hotel Management Silchar,Silchar,Assam,Private,1907,,A,156,302.0,14.4,233515.0,45173,False,34.5,5.48,25.145,674,118.9,False,False,False,True,False,False,27.8,JEE Main,4342,119,Medium (1-5L),Northeast,1,4
Prime College of Medical Sciences Jammu,Jammu,Jammu & Kashmir,Private,1855,,B,127,447.0,11.9,187807.0,173846,True,49.7,4.32,10.64,293,1635.1,True,True,False,True,True,True,62.7,CAT,5326,171,Medium (1-5L),North,5,1
Chanakya Institute of Journalism Panaji,Panaji,Goa,Private,1986,496.0,B,85,1321.0,0.4,318552.0,88951,True,52.6,5.23,13.65,467,1645.8,False,False,False,True,False,True,67.7,JEE Main,492,40,Medium (1-5L),West,2,1
District Journalism College Mapusa,Mapusa,Goa,Government,2008,,B+,9,221.0,35.6,47162.0,104472,True,58.2,3.13,7.74,365,2408.6,True,True,True,True,True,True,33.2,JEE Advanced,7864,18,Low (<1L),West,6,2
State Institute of Arts Amritsar,Amritsar,Punjab,Government,1987,334.0,B+,57,1266.0,3.2,22143.0,135438,True,34.7,3.05,18.15,212,2126.5,True,True,True,False,True,True,77.1,CLAT,3998,39,Low (<1L),North,5,2
State Institute of Nursing Karaikal,Karaikal,Puducherry,Government,1932,248.0,B++,99,1027.0,6.7,47904.0,66335,True,44.3,4.04,20.52,512,383.2,True,True,True,True,True,True,82.4,JEE Main,6847,94,Low (<1L),South,6,3
Rani Foundation Dental Sciences College Jaipur,Jaipur,Rajasthan,Private,2010,82.0,B+,130,86.0,23.4,261788.0,41213,True,71.2,4.32,26.25,652,1941.7,False,False,True,False,False,True,11.1,University Entrance,2012,16,Medium (1-5L),North,2,2
Government Model College Muzaffarpur,Muzaffarpur,Bihar,Government,1941,216.0,A,136,1015.0,5.8,46084.0,38040,False,55.7,4.09,10.07,423,136.1,False,False,True,False,False,True,60.7,COMEDK,5933,85,Low (<1L),East,2,4
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Government,2016,,A,169,211.0,1.1,40004.0,27069,True,61.7,4.37,23.23,448,341.0,False,False,False,True,True,False,39.8,JEE Advanced,230,10,Low (<1L),South,2,4
Government Polytechnic Jorhat,Jorhat,Assam,Government,1869,43.0,B+,54,365.0,5.3,292714.0,66231,True,86.5,25.62,61.2,426,485.8,False,True,True,False,False,True,72.7,AP EAMCET,1918,157,Medium (1-5L),Northeast,3,2
Guru Gobind Singh Institute of Information Technology Jodhpur,Jodhpur,Rajasthan,Private,2000,210.0,A++,157,1461.0,3.5,475747.0,123060,False,63.2,5.67,28.14,468,40.9,True,True,True,True,True,True,79.8,COMEDK,5076,26,Medium (1-5L),North,6,6
Patel Deemed University Hisar,Hisar,Haryana,Deemed,1915,,A+,122,251.0,14.7,184628.0,174661,False,66.4,5.85,21.27,89,633.0,False,False,True,True,False,False,73.0,UPSEE,3689,111,Medium (1-5L),North,2,5
Government Model College Raipur,Raipur,Chhattisgarh,Government,1943,40.0,B,204,1374.0,1.1,246807.0,50533,True,98.1,32.12,205.71,655,846.6,True,False,False,True,False,True,52.9,KCET,1517,83,Medium (1-5L),Central,3,1
Deemed Institute of Applied Sciences Surat,Surat,Gujarat,Deemed,1875,310.0,A,217,386.0,14.4,138297.0,168943,False,44.2,4.72,11.32,600,1267.1,True,True,True,True,True,True,55.8,KCET,5577,151,Medium (1-5L),West,6,4
Patel Institute of Technology Berhampur,Berhampur,Odisha,Private,2009,51.0,B,43,886.0,3.0,1320877.0,134848,True,96.2,25.07,104.74,596,1015.9,True,True,True,True,True,True,68.6,CUET,2665,17,High (>5L),East,6,1
Jammu College of Commerce,Jammu,Jammu & Kashmir,Private,1873,216.0,A,115,400.0,5.9,364016.0,74818,True,64.8,11.76,39.95,527,1994.2,True,True,True,True,True,True,22.8,COMEDK,2360,153,Medium (1-5L),North,6,4
Bokaro Autonomous College of Engineering,Bokaro,Jharkhand,Autonomous,1928,,A+,156,1202.0,5.2,160471.0,40393,False,47.4,7.14,35.62,418,2084.2,False,False,False,False,True,False,84.5,UPSEE,6232,98,Medium (1-5L),East,1,5
Gandhi Institute of Arts Bhopal,Bhopal,Madhya Pradesh,Private,1957,283.0,B++,5,924.0,1.7,231388.0,110717,True,34.5,2.02,7.67,419,819.3,True,True,True,False,True,True,43.6,GATE,1553,69,Medium (1-5L),Central,5,3
Government College of Commerce Belgaum,Belgaum,Karnataka,Government,1930,,A+,190,1385.0,4.3,91216.0,110191,False,86.6,8.79,43.19,163,954.0,False,False,False,False,True,True,84.8,SRMJEEE,5923,96,Low (<1L),South,2,5
Goa State Journalism College Vasco da Gama,Vasco da Gama,Goa,Government,1999,,B,221,1043.0,2.7,77704.0,162401,False,92.7,14.1,55.03,557,1225.8,False,True,True,True,False,True,23.8,COMEDK,2844,27,Low (<1L),West,4,1
Nagaland State Pharmacy College Dimapur,Dimapur,Nagaland,Government,2013,224.0,B+,51,1388.0,1.7,46446.0,51130,True,50.9,4.9,15.13,124,1527.1,True,True,True,True,True,False,61.0,AP EAMCET,2368,13,Low (<1L),Northeast,5,2
District Education College Gangtok,Gangtok,Sikkim,Government,1961,449.0,B++,184,977.0,3.8,40316.0,171883,False,39.0,2.07,11.39,667,57.6,False,True,False,True,False,True,73.5,TS EAMCET,3746,65,Low (<1L),Northeast,3,3
BMS College of Engineering,Bangalore,Karnataka,Autonomous,1946,213.0,A+,124,961.0,1.7,157330.0,170706,True,47.2,8.83,46.02,539,862.6,True,True,True,True,False,True,74.7,KCET,1600,80,Medium (1-5L),South,5,5
Sri Aryabhata Institute of Applied Sciences Nizamabad,Nizamabad,Telangana,Private,1915,,B,230,1495.0,2.1,110977.0,133177,False,51.6,2.5,10.75,564,2129.5,False,True,True,True,True,True,83.9,CLAT,3075,111,Medium (1-5L),South,5,1
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Government,2008,62.0,A+,68,987.0,0.6,40112.0,69862,True,77.3,6.4,18.67,87,1108.9,True,True,True,True,True,False,73.4,JEE Advanced,600,18,Low (<1L),South,5,5
Mahatma Gandhi Foundation Management College Chandigarh,Chandigarh,Chandigarh,Private,1905,425.0,B++,134,403.0,2.1,181092.0,177212,True,37.3,2.62,11.01,162,2036.3,False,True,False,True,False,False,38.4,WBJEE,854,121,Medium (1-5L),North,2,3
Academy of Journalism Surat,Surat,Gujarat,Deemed,2011,459.0,B++,24,799.0,7.1,309813.0,56453,True,27.5,2.67,6.46,115,111.1,True,False,True,False,True,True,46.4,WBJEE,5677,15,Medium (1-5L),West,4,3
Vijayawada Government Hotel Management College,Vijayawada,Andhra Pradesh,Government,1883,56.0,A,98,458.0,8.4,223450.0,137825,True,71.9,15.09,39.07,652,1892.0,False,True,True,False,False,False,64.9,KCET,3835,143,Medium (1-5L),South,2,4
Nagaon Medical Sciences Autonomous College,Nagaon,Assam,Autonomous,2016,,B++,240,206.0,13.1,122912.0,146614,True,35.4,4.55,31.69,117,1065.4,False,False,True,False,False,False,7.5,NATA,2696,10,Medium (1-5L),Northeast,1,3
Autonomous College of Physical Education Imphal,Imphal,Manipur,Autonomous,1948,,B++,238,76.0,23.9,404081.0,57568,True,51.15,17.44,59.98,527,280.8,True,True,True,True,True,True,11.8,TNEA,1816,78,Medium (1-5L),Other,6,3
Government College of Management Dimapur,Dimapur,Nagaland,Government,1963,272.0,B,17,49.0,141.1,39267.0,46946,True,43.7,3.23,7.31,396,1918.3,True,True,False,False,False,False,79.0,JEE Advanced,6912,63,Low (<1L),Northeast,2,1
Vivekananda Foundation Fine Arts College Chandigarh,Chandigarh,Chandigarh,Private,1895,,B,48,693.0,7.5,1939863.0,172376,True,60.7,16.0,43.21,570,1322.7,True,True,False,True,True,True,52.6,TNEA,5192,131,High (>5L),North,5,1
Bihar State Technology College Gaya,Gaya,Bihar,Government,1980,408.0,A,213,622.0,7.7,13890.0,35615,True,45.0,8.07,32.5,688,853.4,True,True,True,True,True,True,37.2,VITEEE,4817,46,Low (<1L),East,6,4
